2024-11-19 10:25:31,394 - INFO - Started Telegram Scraping Process.
2024-11-19 10:25:34,625 - INFO - Connecting to 149.154.167.51:443/TcpFull...
2024-11-19 10:25:36,511 - INFO - Connection to 149.154.167.51:443/TcpFull complete!
2024-11-19 10:25:44,040 - ERROR - Failed to connect to Telegram: The phone number is invalid (caused by SendCodeRequest)
2024-11-19 10:25:50,809 - INFO - Started Telegram Scraping Process.
2024-11-19 10:25:50,810 - INFO - Connecting to 149.154.167.51:443/TcpFull...
2024-11-19 10:25:50,908 - INFO - Connection to 149.154.167.51:443/TcpFull complete!
2024-11-19 10:25:57,966 - INFO - Phone migrated to 4
2024-11-19 10:25:58,109 - INFO - Reconnecting to new data center 4
2024-11-19 10:25:58,329 - INFO - Disconnecting from 149.154.167.51:443/TcpFull...
2024-11-19 10:25:58,330 - INFO - Disconnection from 149.154.167.51:443/TcpFull complete!
2024-11-19 10:25:58,331 - INFO - Connecting to 149.154.167.91:443/TcpFull...
2024-11-19 10:25:59,972 - INFO - Connection to 149.154.167.91:443/TcpFull complete!
2024-11-19 10:26:16,571 - INFO - Successfully connected to Telegram.
2024-11-19 10:26:17,297 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:17,732 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:18,091 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:18,529 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:18,877 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:19,066 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:19,266 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:19,620 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:20,104 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:20,642 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:21,014 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:21,284 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:21,599 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:21,724 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:21,885 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:22,063 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:22,425 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:22,761 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:22,949 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:23,142 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:23,338 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:23,632 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:23,780 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:24,040 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:24,194 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:24,344 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:24,488 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:24,629 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:24,766 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:24,901 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:25,068 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:25,207 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:25,468 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:25,643 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:25,820 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:26,026 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:42,796 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:42,991 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:43,186 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:43,358 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:43,632 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:43,774 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:43,921 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:44,214 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:44,722 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:45,003 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:45,188 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:45,419 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:45,588 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:45,800 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:45,942 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:46,117 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:46,294 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:46,425 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:46,777 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-19 10:26:46,960 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
